year.cat,res.pen,res.ery,res.multi,cons.amo,cons.amocla,cons.amotot,cons.ceph,cons.azi,cons.tot
1999,19.9071,0,0.0504059,222.186,67.4306,289.6166,37.6809,4.12793,358.506
1999.083333,47.2212,2.51094,9.36164,251.312,71.1567,322.4687,25.5851,2.61499,382.361
1999.166667,33.1068,10.2255,22.3672,161.536,51.0962,212.6322,23.9794,1.23556,256.305
1999.25,27.0458,10.5948,19.2022,159.751,48.1034,207.8544,25.079,1.4101,245.79
1999.333333,29.449,10.4818,10.5207,163.836,47.1485,210.9845,21.0162,2.30749,244.44
1999.416667,18.6735,13.0491,18.3864,179.697,60.3146,240.0116,45.595,6.17833,310.952
1999.5,28.6834,0.0129765,5.09979,177.214,51.341,228.555,48.115,7.17834,288.349
1999.583333,26.8014,0.00637213,0.220819,159.354,55.9034,215.2574,51.0017,7.02024,288.373
1999.666667,4.50794,0.000377393,5.4077,200.46,44.8965,245.3565,44.8963,8.9205,305.845
1999.75,10.34,10.0751,11.3993,233.825,59.6621,293.4871,39.0823,14.9612,371.004
1999.833333,26.1357,16.6632,18.3549,263.737,65.9894,329.7264,38.9104,15.4386,405.779
1999.916667,27.3612,8.77558,11.6016,232.558,71.5319,304.0899,39.7943,14.4372,374.189
2000,21.4081,13.2732,15.8255,199.402,57.3186,256.7206,34.4091,8.34373,317.274
2000.083333,14.7035,6.40405,20.5854,197.201,59.4141,256.6151,38.4865,10.6502,322.67
2000.166667,25.3027,8.32722,8.42311,205.667,58.8886,264.5556,39.9821,6.74654,328.158
2000.25,4.77792,18.7772,18.8594,208,50.5789,258.5789,44.6203,10.2771,329.105
2000.333333,19.9848,8.85223,14.998,216.324,57.7227,274.0467,48.9125,17.0444,350.021
2000.416667,32.0305,14.4749,20.7207,189.155,50.136,239.291,51.9641,19.0642,324.582
2000.5,13.8095,13.5571,19.5368,163.554,54.4687,218.0227,56.5808,19.4102,302.678
2000.583333,13.2656,13.3899,13.372,149.142,43.9398,193.0818,59.8418,19.7182,280.673
2000.666667,21.7765,18.4783,18.5604,159.068,43.8455,202.9135,47.4184,25.9695,280.699
2000.75,12.983,8.87384,11.3247,165.897,45.6515,211.5485,38.7693,20.5777,284.674
2000.833333,21.0117,11.1198,13.9964,216.425,51.636,268.061,40.367,30.7899,358.113
2000.916667,17.7894,8.91456,13.5079,197.904,59.4595,257.3635,39.8314,20.4891,330.229
2001,35.2465,23.6004,29.6732,251.761,76.4061,328.1671,48.8334,27.5958,426.011
2001.083333,26.471,26.3821,29.9881,256.042,90.58,346.622,48.0779,25.6329,434.469
2001.166667,13.7501,4.60697,9.68781,211.7,88.7823,300.4823,42.6075,30.1854,390.684
2001.25,12.0992,25.7797,25.9059,194.671,61.5087,256.1797,42.3256,20.8658,329.406
2001.333333,9.80642,19.6076,17.975,205.316,61.9285,267.2445,47.7673,25.184,353.304
2001.416667,21.2265,23.8368,21.1275,195.248,52.2453,247.4933,40.9346,21.8245,323.071
2001.5,20.7917,20.7746,20.8539,184.119,54.1542,238.2732,42.6208,21.2953,310.684
2001.583333,28.8551,25.1648,29.3615,153.517,50.8685,204.3855,46.0973,19.5607,278.588
2001.666667,7.41935,64.0325,56.772,141.169,45.3846,186.5536,44.281,25.9356,262.713
2001.75,37.1969,16.8412,16.8727,203.111,59.9067,263.0177,42.251,24.4714,337.023
2001.833333,35.5474,29.4893,29.3967,204.839,55.3974,260.2364,35.1688,32.8116,335.167
2001.916667,14.3251,13.7725,13.9147,194.249,70.3933,264.6423,33.8588,38.7255,350.542
2002,39.3894,27.7613,33.3468,238.281,75.9649,314.2459,33.3345,30.6853,389.89
2002.083333,48.0959,36.5481,38.1059,233.68,73.299,306.979,33.1145,36.2973,384.51
2002.166667,18.4464,25.3887,26.5863,180.662,64.5242,245.1862,33.5646,19.8802,304.848
2002.25,11.8665,11.6561,15.6569,174.711,60.6096,235.3206,26.1831,23.5159,291.527
2002.333333,30.3595,27.4143,24.7535,187.384,56.2985,243.6825,26.5841,26.5391,303.194
2002.416667,29.0661,25.424,29.0846,172.312,38.1412,210.4532,29.0275,14.8648,265.112
2002.5,16.0588,19.6267,24.1525,172.807,46.3444,219.1514,40.3395,20.7506,285.141
